FECHAELAB,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
2019-09-05 11:05:04.000,F29432,1965.0,C,2.0,2019-09-05,2019-09-05 00:00:00,2019-09-20,2019-09-06,976.5,0.0,0.0
2019-09-06 12:01:36.000,F29436,1965.0,C,2.0,2019-09-06,2019-09-06 00:00:00,2019-09-21,2019-09-12,976.5,0.0,0.0
2019-09-11 18:38:45.000,F29479,1240.0,E,2.0,2019-09-11,2019-09-11 00:00:00,2019-09-11,,4135.0,0.0,0.0
2019-09-12 12:14:28.000,F29485,1965.0,C,2.0,2019-09-12,2019-09-12 00:00:00,2019-09-27,2019-09-12,976.5000000000001,146.48,0.0
2019-09-12 12:25:52.000,F29486,1965.0,E,2.0,2019-09-12,2019-09-12 00:00:00,2019-09-27,,976.5000000000001,146.48,0.0
2019-09-12 13:50:21.000,F29492,1020.0,E,2.0,2019-09-12,2019-09-12 00:00:00,2019-10-12,,262.94,0.0,0.0
2019-09-12 13:58:25.000,F29493,1020.0,E,2.0,2019-09-12,2019-09-12 00:00:00,2019-10-12,,448.28000000000003,0.0,0.0
2019-09-18 10:03:18.000,F29528,1125.0,C,,2019-09-18,2019-09-18 00:00:00,2019-10-03,2019-09-18,2697.0,0.0,0.0
2019-09-18 10:12:54.000,F29530,1125.0,E,2.0,2019-09-18,2019-09-18 00:00:00,2019-10-03,,2697.0,0.0,0.0
2019-09-19 11:14:09.000,F29549,1965.0,E,2.0,2019-09-19,2019-09-19 00:00:00,2019-10-04,,1155.0,173.25000000000006,0.0
2019-09-20 12:06:14.000,F29574,1158.0,E,2.0,2019-09-20,2019-09-20 00:00:00,2019-09-20,,420.00000000000006,0.0,0.0
2019-09-20 14:12:12.000,F29582,1478.0,E,1.0,2019-09-20,2019-09-10 00:00:00,2019-10-20,,4679.0,0.0,0.0
2019-09-20 17:54:09.000,F29596,1852.0,E,2.0,2019-09-20,2019-09-17 00:00:00,2019-10-05,,7125.9000000000015,0.0,0.0
2019-09-23 09:25:51.000,F29599,1703.0,E,1.0,2019-09-23,2019-09-06 00:00:00,2019-10-23,,50994.00000000001,0.0,0.0
2019-09-23 09:52:38.000,F29600,1965.0,E,2.0,2019-09-23,2019-09-23 00:00:00,2019-10-08,,2790.5000000000005,418.58,0.0
2019-09-24 08:04:45.000,F29624,1125.0,E,,2019-09-24,2019-09-24 00:00:00,2019-10-09,,1319.0,0.0,0.0
2019-09-26 16:28:39.000,F29670,1586.0,E,2.0,2019-09-26,2019-09-26 00:00:00,2019-09-26,,144.0,0.0,0.0
