FECHAELAB,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
2021-10-15 08:40:29.183,F36417,5271.0,E,3.0,2021-10-15,2021-10-06 00:00:00,2021-11-14,,8555.24,0.0,0.0
2021-10-15 08:51:03.463,F36418,5746.0,E,2.0,2021-10-15,2021-10-14 00:00:00,2021-10-15,,620.77,0.0,0.0
2021-10-15 08:56:23.280,F36419,2163.0,E,3.0,2021-10-15,2021-10-15 00:00:00,2021-10-15,,560.0,0.0,0.0
2021-10-15 09:01:08.393,F36420,1429.0,E,1.0,2021-10-15,2021-10-15 00:00:00,2021-12-14,,23625.000000000004,0.0,0.0
2021-10-15 09:07:07.103,F36421,5039.0,E,1.0,2021-10-15,2021-10-08 00:00:00,2022-01-13,,3308.78,0.0,0.0
2021-10-15 10:31:01.627,F36422,6872.0,E,2.0,2021-10-15,2021-10-15 00:00:00,2021-10-15,,151.38800000000003,0.0,0.0
2021-10-15 11:37:13.230,F36423,8478.0,E,4.0,2021-10-15,2021-10-15 00:00:00,2021-10-15,,450.54510000000005,0.0,0.0
2021-10-15 12:12:15.810,F36424,6545.0,E,2.0,2021-10-15,2021-10-15 00:00:00,2021-10-15,,1224.4,0.0,0.0
2021-10-15 12:13:54.637,F36425,6545.0,E,2.0,2021-10-15,2021-10-15 00:00:00,2021-10-15,,1224.4,0.0,0.0
2021-10-15 12:15:51.957,F36426,6545.0,E,2.0,2021-10-15,2021-10-15 00:00:00,2021-10-15,,1224.4,0.0,0.0
2021-10-15 12:17:25.747,F36427,6545.0,E,2.0,2021-10-15,2021-10-15 00:00:00,2021-10-15,,1224.4,0.0,0.0
2021-10-15 12:20:07.887,F36428,6545.0,E,2.0,2021-10-15,2021-10-15 00:00:00,2021-10-15,,489.6,0.0,0.0
2021-10-15 12:35:03.610,F36429,248.0,E,2.0,2021-10-15,2021-10-15 00:00:00,2021-10-15,,540.0,0.0,0.0
2021-10-15 13:29:23.007,F36430,6797.0,E,2.0,2021-10-15,2021-10-15 00:00:00,2021-10-15,,855.54,0.0,0.0
2021-10-15 14:05:17.327,F36431,8477.0,E,2.0,2021-10-15,2021-10-15 00:00:00,2021-10-15,,781.54,0.0,0.0
2021-10-15 14:19:31.517,F36432,3666.0,E,2.0,2021-10-15,2021-10-18 00:00:00,2021-10-15,,435.0,0.0,0.0
2021-10-15 14:57:53.463,F36433,2036.0,E,2.0,2021-10-15,2021-10-15 00:00:00,2021-10-15,,570.5,0.0,0.0
2021-10-15 15:00:58.727,F36434,4598.0,E,1.0,2021-10-15,2021-10-15 00:00:00,2021-11-14,,17703.600000000002,0.0,0.0
2021-10-15 15:30:36.927,F36435,3937.0,E,1.0,2021-10-15,2021-10-19 00:00:00,2021-10-15,,36965.560000000005,0.0,0.0
2021-10-15 15:43:15.297,F36436,8426.0,E,1.0,2021-10-15,2021-09-29 00:00:00,2021-11-14,,5931.000000000001,0.0,0.0
2021-10-15 16:44:42.677,F36437,114.0,E,1.0,2021-10-15,2021-10-15 00:00:00,2021-11-29,,2800.5000000000005,0.0,0.0
