CVE_VEND,FECHAELAB
1.0,2019-12-18 08:01:56.000
1.0,2019-12-18 13:29:59.000
1.0,2019-12-19 14:31:14.000
1.0,2019-12-20 17:31:27.000
1.0,2019-12-20 17:35:43.000
1.0,2020-01-03 10:33:36.000
1.0,2020-01-07 08:09:01.000
1.0,2020-01-07 12:05:05.000
1.0,2020-01-08 09:41:18.000
1.0,2020-01-10 10:21:12.000
1.0,2020-01-13 12:47:30.000
1.0,2020-01-14 10:00:27.000
1.0,2020-01-14 12:44:28.000
1.0,2020-01-14 12:46:27.000
1.0,2020-01-15 17:51:25.000
1.0,2020-01-20 09:20:37.000
1.0,2020-01-21 09:35:24.000
1.0,2020-01-21 09:38:01.000
1.0,2020-01-21 13:56:06.000
1.0,2020-01-22 08:54:50.000
1.0,2020-01-22 10:32:08.000
1.0,2020-01-22 12:28:18.000
1.0,2020-01-22 12:42:44.000
1.0,2020-01-23 09:22:18.000
1.0,2020-01-23 09:26:08.000
1.0,2020-01-23 17:06:58.000
1.0,2020-01-23 17:08:06.000
1.0,2020-01-23 17:09:33.000
1.0,2020-01-24 16:15:39.000
1.0,2020-01-24 18:05:56.000
1.0,2020-01-27 09:32:52.000
1.0,2020-01-28 08:10:31.000
1.0,2020-01-29 08:07:47.000
1.0,2020-01-31 17:22:25.000
1.0,2020-01-31 18:55:26.000
1.0,2020-02-05 15:21:19.000
1.0,2020-02-06 16:03:10.000
1.0,2020-02-06 17:59:32.000
1.0,2020-02-07 14:33:40.000
1.0,2020-02-10 11:53:24.000
1.0,2020-02-11 09:39:17.000
1.0,2020-02-12 10:22:52.000
1.0,2020-02-12 10:33:04.000
1.0,2020-02-12 11:49:21.000
1.0,2020-02-14 09:24:33.000
1.0,2020-02-14 09:26:43.000
1.0,2020-02-14 14:32:23.000
1.0,2020-02-17 08:49:05.000
1.0,2020-02-18 14:00:02.000
1.0,2020-02-18 14:10:31.000
1.0,2020-02-19 07:50:19.000
1.0,2020-02-19 08:08:20.000
1.0,2020-02-20 07:54:04.000
1.0,2020-02-20 07:57:41.000
1.0,2020-02-20 13:09:59.000
1.0,2020-02-21 10:34:40.000
1.0,2020-02-21 18:04:33.000
1.0,2020-02-24 09:13:26.000
1.0,2020-02-25 08:26:22.000
1.0,2020-02-25 09:40:30.000
1.0,2020-02-25 11:31:00.000
1.0,2020-02-26 09:19:25.000
1.0,2020-02-26 09:41:40.000
1.0,2020-02-26 11:18:19.000
1.0,2020-02-26 16:47:48.000
1.0,2020-02-27 12:59:54.000
1.0,2020-02-27 16:41:35.000
1.0,2020-02-28 10:46:39.000
1.0,2020-02-28 18:09:47.000
1.0,2020-02-28 18:54:23.000
1.0,2020-02-28 19:17:01.000
1.0,2020-03-04 09:59:19.000
1.0,2020-03-04 17:39:52.000
1.0,2020-03-10 09:43:48.000
1.0,2020-03-11 11:29:12.000
1.0,2020-03-11 11:35:02.000
1.0,2020-03-11 11:41:56.000
1.0,2020-03-12 07:58:22.000
1.0,2020-03-12 17:59:18.000
1.0,2020-03-13 10:13:45.000
1.0,2020-03-13 10:22:19.000
1.0,2020-03-17 09:59:27.000
1.0,2020-03-17 17:03:33.000
1.0,2020-03-18 08:24:25.000
1.0,2020-03-19 09:27:31.000
1.0,2020-03-19 09:35:09.000
1.0,2020-03-23 16:52:55.000
1.0,2020-03-24 17:06:30.000
1.0,2020-03-25 11:58:57.000
1.0,2020-03-25 12:19:30.000
1.0,2020-03-26 08:58:09.000
1.0,2020-03-30 08:00:34.000
1.0,2020-03-31 14:12:37.000
1.0,2020-04-02 12:23:50.000
1.0,2020-04-03 13:10:46.000
1.0,2020-04-08 08:55:50.000
1.0,2020-04-08 10:00:20.000
1.0,2020-04-27 11:50:27.000
